Servis Adı,Servis UUID,Karakteristik Adı,Karakteristik UUID,Veri Tipi,Default Değer,Açıklama/Birim,Min/Max,Okuma/Yazma,BLE Client'tan Yazılabilir mi,NVS'de Saklanıyor mu?,Cihaz Resetinde Sıfırlanır mı,Saklanmalı mı?
LoRaWAN,0000a100-0000-1000-8000-00805f9b34fb,DevEUI,0000a201-0000-1000-8000-00805f9b34fb,8 byte,00 04 A3 0B 00 00 00 56,Cihaz EUI,-,R/W,Evet,Evet,Hayır,-
LoRaWAN,0000a100-0000-1000-8000-00805f9b34fb,AppEUI,0000a202-0000-1000-8000-00805f9b34fb,8 byte,70 B3 D5 7E D0 05 20 45,Uygulama EUI,-,R/W,Evet,Evet,Hayır,-
LoRaWAN,0000a100-0000-1000-8000-00805f9b34fb,AppKey,0000a203-0000-1000-8000-00805f9b34fb,16 byte,2B 7E 15 16 28 AE D2 A6 AB F7 15 88 09 CF 4F 3C,LoRaWAN Key,-,R/W,Evet,Evet,Hayır,-
LoRaWAN,0000a100-0000-1000-8000-00805f9b34fb,Platform,0000a204-0000-1000-8000-00805f9b34fb,String,GenieBlocks,Platform adı,-,R/W,Evet,Evet,Hayır,-
LoRaWAN,0000a100-0000-1000-8000-00805f9b34fb,Freq,0000a205-0000-1000-8000-00805f9b34fb,String,EU868,Frekans bandı,-,R/W,Evet,Evet,Hayır,-
LoRaWAN,0000a100-0000-1000-8000-00805f9b34fb,PckPo,0000a206-0000-1000-8000-00805f9b34fb,uint8,0x1C,Paket periyodu,0-255,R/W,Evet,Evet,Hayır,-
LoRaWAN,0000a100-0000-1000-8000-00805f9b34fb,ADR,0000a207-0000-1000-8000-00805f9b34fb,bool,1,Adaptif Rate,0/1,R/W,Evet,Evet,Hayır,-
Device Info,0000180a-0000-1000-8000-00805f9b34fb,Device EUI,0000a109-0000-1000-8000-00805f9b34fb,8 byte,00 04 A3 0B 00 00 00 56,Cihaz EUI,-,R,Hayır,Hayır,Evet,Hayır
Device Info,0000180a-0000-1000-8000-00805f9b34fb,Device Model,0000a102-0000-1000-8000-00805f9b34fb,String,GB-MODBUS,Model,-,R,Hayır,Hayır,Evet,Hayır
Device Info,0000180a-0000-1000-8000-00805f9b34fb,Software Version,0000a10a-0000-1000-8000-00805f9b34fb,String,1.0.0,Sürüm,-,R,Hayır,Hayır,Evet,Hayır
